station_name,station_code
三戸,000645
三才,001968
三方,004347
三日市,006361
三日市町,007957
三日月,006080
三春,001487
三木,006630
三木上の丸,006629
三木里,008584
三本松,007656
三本松,008334
三本松口,004688
三条,005971
三条,008229
三条,001418
三条京阪,005970
三松,004556
三枚橋,002408
三柿野,004829
三次,006615
三毛門,008992
三沢,009292
三沢,000570
三河一宮,006444
三河三谷,006549
三河上郷,005946
三河八橋,005958
三河内,009563
三河塩津,006521
三河大塚,006566
三河大野,006186
三河安城,006133
三河島,003359
三河川合,006004
三河東郷,006281
三河槙原,006064
三河田原,007314
三河知立,005989
三河豊田,005817
三河高浜,006236
三河鳥羽,006663
三河鹿島,006574
三津,008709
三津浜,008710
三浦,005555
三浦海岸,005401
三溝,002532
三滝,007987
三潴,009451
三瀬,001030
三瀬谷,008051
三田,006340
三田,003986
三田本町,006357
三石,006607
三縄,008578
三股,010011
三良坂,006763
三苫,008891
三菱自工前,007789
三見,008032
三角,009862
三谷,007563
三谷,008176
三越前,003716
三軒茶屋,004016
三輪,007783
三輪崎,008901
三郷,007632
三郷,003010
三郷,005308
三郷中央,003047
三里,005675
三里木,009683
三重町,009623
三野瀬,008426
三門,005153
三間坂,009527
三関,000947
三陸,000946
三雲,006089
三鷹,003587
三鷹台,003674
上の町,007859
上ゲ,006415
上ノ太子,007767
上ノ庄,007613
上一万,008742
上万場,003013
上三依塩原温泉口,001682
上三田,007755
上三緒,008978
上下,007106
上下浜,001567
上中,004641
上中里,003277
上丸渕,005270
上之郷,008102
上二田,000760
上井草,003437
上今井,001848
上今市,001885
上伊万里,009439
上伊田,008950
上伊集院,010038
上保原,001343
上八木,007860
上前津,005506
上北台,003283
上北沢,003849
上北町,000559
上古沢,008324
上呂,002899
上嘉川,008497
上堀,002019
上塩屋,010081
上境,001716
上夜久野,004990
上大井,005047
上大岡,004790
上大月,004183
上宇和,009324
上安,007895
上富良野,000129
上小川,001899
上小田井,005297
上尾,002796
上尾幌,000287
上山口,008413
上岡,009635
上島,006866
上川,000069
上川内,009976
上川口,005028
上川立,006949
上州一ノ宮,002485
上州七日市,002474
上州富岡,002468
上州新屋,002480
上州福島,002478
上市,001914
上市場,005833
上幌向,000165
上強羅,005245
上戸,001466
上戸手,007730
上挙母,005760
上新庄,006833
上星川,004624
上月,006087
上有住,000931
上有田,009530
上本町,001971
上本郷,003115
上杉,000701
上条,001856
上条,001535
上松,003139
上松川,001359
上板橋,003212
上林,007103
上枝,002559
上栄町,005987
上桂,006057
上桑名川,001707
上桧木内,000765
上横須賀,006490
上毛高原,001952
上永谷,004815
上沢,007273
上泉,002279
上浜,000939
上浦,009311
上涌谷,001058
上深川,007894
上湯沢,000945
上溝,004342
上滝,002063
上熊本,009740
上熊谷,002584
上片桐,004146
上牧,006383
上牧,001877
上狛,006831
上田,002275
上田原,002289
上田浦,009884
上町,004020
上町一丁目,009141
上町二丁目,009142
上町五丁目,009144
上町四丁目,009143
上盛岡,000787
上相浦,009523
上石神井,003427
上石見,005662
上磯,000437
上社,005437
上神梅,002203
上福岡,002964
上穂波,009096
上米内,000777
上総一ノ宮,004901
上総三又,004632
上総中川,005154
上総中野,005238
上総久保,004921
上総亀山,005274
上総大久保,005151
上総山田,004667
上総川間,004867
上総村上,004535
上総東,005198
上総松丘,005209
上総清川,004857
上総湊,005302
上総牛久,004826
上総興津,005566
上総鶴舞,004884
上臼杵,009576
上芦別,000125
上菅,005379
上菅谷,002213
上諏訪,002706
上諸江,002078
上豊田,005643
上越国際スキー場前,001674
上越妙高,001643
上道,004434
上道,007082
上郡,006397
上郷,008464
上野,003505
上野動物園東園,003488
上野動物園西園,003497
上野原,004140
上野尻,001417
上野市,006751
上野幌,000302
上野広小路,003545
上野御徒町,003543
上野毛,004175
上野目,001034
上野芝,007735
上野部,006446
上野間,006599
上金田,008919
上長瀞,002650
上飯島,000772
上飯田,005339
上鳥羽口,006149
上麻生,004398
下ノ江,009559
下丸子,004310
下久野,005192
下之郷,002326
下井草,003444
下井阪,008316
下仁田,002536
下今市,001889
下伊田,008940
下兵庫,008224
下兵庫こうふく,002567
下切,004853
下北,000479
下北条,004576
